fips,mtfcc,lane_miles
5091,S1200,618.6501782797488
5091,S1400,2809.2232061870777
5093,S1100,356.77148558728413
5093,S1200,998.9055101823112
5093,S1400,3841.865603765797
5095,S1100,103.82569923080182
5095,S1200,484.69342606853223
5095,S1400,1364.446756106944
5097,S1200,393.7650837874842
5097,S1400,2603.819022019988
5099,S1100,103.42426608098975
5099,S1200,726.9327122142552
5099,S1400,2620.1524558855695
5101,S1200,464.55508917637576
5101,S1400,2226.294264313787
5103,S1200,563.4937313782857
5103,S1400,2979.71794089772
5105,S1200,409.2492043359549
5105,S1400,2995.9168750291915
5107,S1200,495.45237651987156
5107,S1400,2330.822965758891
5109,S1200,474.6145795739454
5109,S1400,3773.5567953382642
5111,S1100,462.074991398291
5111,S1200,601.8880131341344
5111,S1400,3982.78864323575
5113,S1200,623.5228163890897
5113,S1400,3703.496812622022
5115,S1100,217.28546236049914
5115,S1200,659.1921091012554
5115,S1400,3754.5495119305738
5117,S1100,157.07239183350967
5117,S1200,441.34230598004746
5117,S1400,2812.855219230213
5119,S1100,1431.3759250780454
5119,S1200,862.7377267562167
5119,S1400,6994.778898195111
5121,S1200,322.69169036839736
5121,S1400,2634.4147711132105
5123,S1100,367.28532754901687
5123,S1200,558.0122121664537
5123,S1400,2891.079097239991
5125,S1100,443.4156014076574
5125,S1200,445.3483880354738
5125,S1400,4541.241438339951
5127,S1200,502.9535281806095
5127,S1400,3986.391688675832
5129,S1200,420.73564837402074
5129,S1400,3771.457460595873
5131,S1100,215.37333252036174
5131,S1200,693.8353059117588
5131,S1400,3533.6389502387187
5133,S1200,381.211003355414
5133,S1400,2337.87187375317
5135,S1200,367.25680799220396
5135,S1400,3152.827739743795
5137,S1200,493.41060890440707
5137,S1400,2886.457733745876
5139,S1200,1125.531540193184
5139,S1400,4325.327664997226
5141,S1200,903.753118773093
5141,S1400,3775.0104795406282
5143,S1100,548.1115623622388
5143,S1200,1254.2540319064087
5143,S1400,9240.088635646216
5145,S1100,788.2480783507903
5145,S1200,604.0577721832525
5145,S1400,4546.2854520236115
5147,S1200,435.15218008251964
5147,S1400,1877.8685753124707
5149,S1200,426.97439964290686
5149,S1400,3129.67236357212
6001,S1100,2144.7680019611166
6001,S1200,514.2150538400392
6001,S1400,11302.005797512753
6003,S1200,186.12755216288897
6003,S1400,577.9926387148771
6005,S1200,329.6264028688687
6005,S1400,2689.000032386657
6007,S1100,334.04945980068726
6007,S1200,590.7677633527726
6007,S1400,8605.042568714605
6009,S1200,360.89360424417134
6009,S1400,5653.720588722786
6011,S1100,279.11592755279344
6011,S1200,283.63090660022624
6011,S1400,3688.2475655533726
6013,S1100,981.4376273040929
6013,S1200,71.53951026509078
6013,S1400,12028.64727055083
