FOB,Region,Regulating Agency,Water System No,Water System Name,Principal County Served,"Principal County Served, State",Federal Water System Type CODE,Federal Water System Type,State Water System Type CODE,State Water System Type,Water System Status CODE,System Status,Owner Type CODE,Owner Type,Primary Water Source Type CODE,Primary Water Source Type,Residential Population,Non-Transient Population,Transient Population,Total Population,Number of Agricultural Service Connections (AG),Number of Combined Service Connections (CB),Number of Commercial Service Connections (CM),Number of Institutional Service Connections (IN),Number of Residential Service Connections (RS),Total Number of Service Connections,Fee Code,Fee Code Description,Date of Sanitary Survey visit (SNSV Visit Date),CITY,Treatment Plant Class CODE,Treatment Plant Class,Distribution System Class CODE,Distribution System Class
NORTHERN CALIFORNIA FOB,SECTION I - NORTHERN CA SECTION,LPA61 - PLACER COUNTY,CA3103288,SNOWFLOWER,PLACER,"PLACER, California",NC,Transient Non-Community,NC,Transient Non-Community,A,Active,P,Private,SW,Surface Water,NULL,NULL,245,245,0,NULL,3,0,0,3,N1,Transient Non-Community Water System,5/16/2024,EMIGRANT GAP,T2,Treatment Operator Level 2,NR,Not Required
CENTRAL CALIFORNIA FOB,SECTION III - NORTH CENTRAL SECTION,LPA50 - MADERA COUNTY,CA2000571,SNOWLINE,MADERA,"MADERA, California",NC,Transient Non-Community,NC,Transient Non-Community,A,Active,P,Private,GW,Groundwater,NULL,NULL,200,200,0,NULL,1,0,0,1,N1,Transient Non-Community Water System,8/23/2023,OAKHURST,TD,Treatment or distribution operator of any grade,NR,Not Required
CENTRAL CALIFORNIA FOB,SECTION III - NORTH CENTRAL SECTION,DISTRICT 10 - STOCKTON,CA0510011,SNOWSHOE SPRINGS ASSN.,CALAVERAS,"CALAVERAS, California",C,Community,C,Community,A,Active,P,Private,SWP,Surface Water Purchased,361,NULL,NULL,361,0,NULL,4,0,294,298,SC,Small Community,8/30/2021,ARNOLD,NULL,,D1,Distribution Operator Level 1
NORTHERN CALIFORNIA FOB,SECTION II - NORTH COASTAL SECTION,DISTRICT 04 - SAN FRANCISCO,CA4800561,SNUG HARBOR RV LP,SOLANO,"SOLANO, California",C,Community,C,Community,A,Active,P,Private,GW,Groundwater,24,NULL,101,125,0,NULL,0,0,110,110,SC,Small Community,2/28/2024,WALNUT GROVE,T1,Treatment Operator Level 1,D1,Distribution Operator Level 1
NORTHERN CALIFORNIA FOB,SECTION I - NORTHERN CA SECTION,DISTRICT 01 - KLAMATH,CA5305107,SO TRINITY UNIFIED SCHOOL DIST.,TRINITY,"TRINITY, California",NTNC,Non-Transient Non-Community,NTNC,Non-Transient Non-Community,A,Active,L,Local,GW,Groundwater,NULL,100,NULL,100,0,NULL,6,0,0,6,SP,Non-Transient Non-Community Water System,1/18/2024,MAD RIVER,TD,Treatment or distribution operator of any grade,D1,Distribution Operator Level 1
SOUTHERN CALIFORNIA FOB,SECTION V - SOUTHERN CA SECTION,DISTRICT 16 - CENTRAL,CA1910006,SO. CAL. EDISON CO.-SANTA CATALINA,LOS ANGELES,"LOS ANGELES, California",C,Community,C,Community,A,Active,P,Private,SW,Surface Water,3822,NULL,NULL,3822,0,NULL,437,0,1562,1999,C1,Large Water System,3/18/2024,AVALON,T3,Treatment Operator Level 3,D3,Distribution Operator Level 3
CENTRAL CALIFORNIA FOB,SECTION III - NORTH CENTRAL SECTION,DISTRICT 10 - STOCKTON,CA0300074,SO. SILVER LAKE HOMEOWNERS,AMADOR,"AMADOR, California",NC,Transient Non-Community,NC,Transient Non-Community,A,Active,P,Private,GW,Groundwater,NULL,NULL,67,67,0,NULL,0,0,24,24,N1,Transient Non-Community Water System,7/15/2024,SILVER LAKE,NULL,,NR,Not Required
NORTHERN CALIFORNIA FOB,SECTION II - NORTH COASTAL SECTION,DISTRICT 18 - SONOMA,CA4900901,SOBRE VISTA WATER COMPANY,SONOMA,"SONOMA, California",C,Community,C,Community,A,Active,P,Private,GW,Groundwater,80,NULL,NULL,80,0,NULL,0,0,26,26,SC,Small Community,10/27/2022,SONOMA,TD,Treatment or distribution operator of any grade,D1,Distribution Operator Level 1
NORTHERN CALIFORNIA FOB,SECTION II - NORTH COASTAL SECTION,LPA58 - NAPA COUNTY,CA2800075,SODA CANYON CRUSH & HOSPITALITY,NAPA,"NAPA, California",NP,Non-Public,LSS,Local State Small Systems,A,Active,P,Private,GW,Groundwater,NULL,NULL,20,20,0,NULL,1,0,0,1,NULL,,5/1/2023,NULL,NULL,,NULL,
NORTHERN CALIFORNIA FOB,SECTION II - NORTH COASTAL SECTION,LPA58 - NAPA COUNTY,CA2800564,SODA CANYON STORE,NAPA,"NAPA, California",NC,Transient Non-Community,NC,Transient Non-Community,A,Active,P,Private,GW,Groundwater,NULL,NULL,50,50,0,NULL,1,0,0,1,,,4/7/2023,NAPA,NULL,,NR,Not Required
