FOB,Region,Regulating Agency,Water System No,Water System Name,Principal County Served,"Principal County Served, State",Federal Water System Type CODE,Federal Water System Type,State Water System Type CODE,State Water System Type,Water System Status CODE,System Status,Owner Type CODE,Owner Type,Primary Water Source Type CODE,Primary Water Source Type,Residential Population,Non-Transient Population,Transient Population,Total Population,Number of Agricultural Service Connections (AG),Number of Combined Service Connections (CB),Number of Commercial Service Connections (CM),Number of Institutional Service Connections (IN),Number of Residential Service Connections (RS),Total Number of Service Connections,Fee Code,Fee Code Description,Date of Sanitary Survey visit (SNSV Visit Date),CITY,Treatment Plant Class CODE,Treatment Plant Class,Distribution System Class CODE,Distribution System Class
SOUTHERN CALIFORNIA FOB,SECTION V - SOUTHERN CA SECTION,DISTRICT 15 - METROPOLITAN,CA1900768,AGUA DULCE WATER SYSTEM,LOS ANGELES,"LOS ANGELES, California",NC,Transient Non-Community,NC,Transient Non-Community,A,Active,P,Private,GW,Groundwater,NULL,NULL,493,493,0,NULL,3,0,0,3,N1,Transient Non-Community Water System,5/23/2023,AGUA DULCE,NULL,,D1,Distribution Operator Level 1
SOUTHERN CALIFORNIA FOB,SECTION V - SOUTHERN CA SECTION,DISTRICT 15 - METROPOLITAN,CA1909646,AGUA DULCE WINERY,LOS ANGELES,"LOS ANGELES, California",NC,Transient Non-Community,NC,Transient Non-Community,A,Active,P,Private,GW,Groundwater,NULL,NULL,113,113,1,NULL,3,0,1,5,SP,Non-Transient Non-Community Water System,2/21/2023,AGUA DULCE,NULL,,D1,Distribution Operator Level 1
SOUTHERN CALIFORNIA FOB,SECTION V - SOUTHERN CA SECTION,DISTRICT 15 - METROPOLITAN,CA1900061,AGUA DULCE WOMEN'S CLUB,LOS ANGELES,"LOS ANGELES, California",NC,Transient Non-Community,NC,Transient Non-Community,A,Active,P,Private,GW,Groundwater,NULL,NULL,50,50,0,NULL,1,0,0,1,NULL,,1/24/2024,AGUA DULCE,NULL,,D2,Distribution Operator Level 2
NORTHERN CALIFORNIA FOB,SECTION II - NORTH COASTAL SECTION,LPA57 - MONTEREY COUNTY,CA2702393,AGUAJITO RD WTR SYS,MONTEREY,"MONTEREY, California",NP,Non-Public,SSWS,State Small Water Systems,A,Active,P,Private,GW,Groundwater,24,NULL,NULL,24,0,NULL,0,0,14,14,XS,State Small Water System,NULL,CARMEL,NULL,,NR,Not Required
SOUTHERN CALIFORNIA FOB,SECTION V - SOUTHERN CA SECTION,LPA63 - RIVERSIDE COUNTY,CA3301141,AGUANGA MARKET WATER SYSTEM,RIVERSIDE,"RIVERSIDE, California",NC,Transient Non-Community,NC,Transient Non-Community,A,Active,P,Private,GW,Groundwater,NULL,12,36000,36012,0,NULL,3,0,0,3,N1,Transient Non-Community Water System,6/16/2017,AGUANGA,NULL,,NR,Not Required
SOUTHERN CALIFORNIA FOB,SECTION III - NORTH CENTRAL SECTION,LPA50 - MADERA COUNTY,CA2000204,AHWAHNEE ACRES MUTUAL,MADERA,"MADERA, California",NP,Non-Public,SSWS,State Small Water Systems,A,Active,P,Private,GW,Groundwater,24,NULL,NULL,24,0,NULL,0,0,12,12,NULL,,NULL,NULL,T1,Treatment Operator Level 1,NULL,
CENTRAL CALIFORNIA FOB,SECTION III - NORTH CENTRAL SECTION,LPA50 - MADERA COUNTY,CA2000537,AHWAHNEE QUIK MART,MADERA,"MADERA, California",NC,Transient Non-Community,NC,Transient Non-Community,A,Active,P,Private,GW,Groundwater,NULL,NULL,35,35,0,NULL,1,0,0,1,NULL,,9/9/2019,AHWAHNEE,NULL,,NR,Not Required
NORTHERN CALIFORNIA FOB,SECTION I - NORTHERN CA SECTION,LPA75 - SHASTA COUNTY,CA4500230,AIRPORT COMMERCIAL PLAZA,SHASTA,"SHASTA, California",NTNC,Non-Transient Non-Community,NTNC,Non-Transient Non-Community,A,Active,P,Private,GW,Groundwater,NULL,25,NULL,25,0,NULL,6,0,0,6,SP,Non-Transient Non-Community Water System,12/19/2019,REDDING,TD,Treatment or distribution operator of any grade,D1,Distribution Operator Level 1
NORTHERN CALIFORNIA FOB,SECTION I - NORTHERN CA SECTION,LPA75 - SHASTA COUNTY,CA4500274,AIRPORT INDUSTRIAL PARK,SHASTA,"SHASTA, California",NTNC,Non-Transient Non-Community,NTNC,Non-Transient Non-Community,A,Active,P,Private,GW,Groundwater,NULL,90,NULL,90,0,NULL,43,0,0,43,SP,Non-Transient Non-Community Water System,12/5/2019,REDDING,TD,Treatment or distribution operator of any grade,D1,Distribution Operator Level 1
NORTHERN CALIFORNIA FOB,SECTION I - NORTHERN CA SECTION,LPA75 - SHASTA COUNTY,CA4500333,AIRPORT PLANET WATER,SHASTA,"SHASTA, California",NTNC,Non-Transient Non-Community,NTNC,Non-Transient Non-Community,A,Active,P,Private,GW,Groundwater,NULL,81,35,116,0,NULL,4,0,0,4,N1,Transient Non-Community Water System,5/5/2021,REDDING,TD,Treatment or distribution operator of any grade,NR,Not Required
CENTRAL CALIFORNIA FOB,SECTION IV - SOUTH CENTRAL SECTION,DISTRICT 19 - TEHACHAPI,CA1502697,AIRSTREAMS RENEWABLES,KERN,"KERN, California",NTNC,Non-Transient Non-Community,NTNC,Non-Transient Non-Community,A,Active,P,Private,GW,Groundwater,NULL,30,465,495,0,NULL,2,0,0,2,SP,Non-Transient Non-Community Water System,8/25/2020,TEHACHAPI,NULL,,D1,Distribution Operator Level 1
CENTRAL CALIFORNIA FOB,SECTION IV - SOUTH CENTRAL SECTION,DISTRICT 24 - TULARE,CA5400810,AKAL TRAVEL PLAZA,TULARE,"TULARE, California",NC,Transient Non-Community,NC,Transient Non-Community,A,Active,P,Private,GW,Groundwater,NULL,NULL,200,200,0,NULL,3,0,0,3,N1,Transient Non-Community Water System,11/15/2019,DELANO,T2,Treatment Operator Level 2,D1,Distribution Operator Level 1
NORTHERN CALIFORNIA FOB,SECTION I - NORTHERN CA SECTION,LPA64 - SACRAMENTO COUNTY,CA3400100,ALAMAR MARINA,SACRAMENTO,"SACRAMENTO, California",NC,Transient Non-Community,NC,Transient Non-Community,A,Active,P,Private,GW,Groundwater,NULL,NULL,100,100,0,NULL,1,0,0,1,NULL,,8/29/2019,SACRAMENTO,NULL,,NR,Not Required
NORTHERN CALIFORNIA FOB,SECTION II - NORTH COASTAL SECTION,DISTRICT 04 - SAN FRANCISCO,CA0105020,ALAMEDA COUNTY FAIRGROUNDS,ALAMEDA,"ALAMEDA, California",NTNC,Non-Transient Non-Community,NTNC,Non-Transient Non-Community,A,Active,M,Mixed (Public/Private),GW,Groundwater,NULL,82,NULL,82,0,NULL,33,0,0,33,SP,Non-Transient Non-Community Water System,2/7/2023,PLEASANTON,T1,Treatment Operator Level 1,D1,Distribution Operator Level 1
NORTHERN CALIFORNIA FOB,SECTION II - NORTH COASTAL SECTION,DISTRICT 04 - SAN FRANCISCO,CA0110001,ALAMEDA COUNTY WATER DISTRICT,ALAMEDA,"ALAMEDA, California",C,Community,C,Community,A,Active,L,Local,SW,Surface Water,344000,NULL,NULL,344000,34,NULL,5838,1199,79888,86959,C1,Large Water System,8/25/2022,FREMONT,T5,Treatment Operator Level 5,D5,Distribution Operator Level 5
NORTHERN CALIFORNIA FOB,SECTION II - NORTH COASTAL SECTION,DISTRICT 04 - SAN FRANCISCO,CA0110016,ALAMEDA POINT,ALAMEDA,"ALAMEDA, California",C,Community,C,Community,A,Active,L,Local,SWP,Surface Water Purchased,500,NULL,900,1400,0,NULL,48,0,330,378,SC,Small Community,11/30/2022,ALAMEDA,NULL,,D1,Distribution Operator Level 1
SOUTHERN CALIFORNIA FOB,SECTION VI - SOUTHEAST CA SECTION,LPA63 - RIVERSIDE COUNTY,CA3301989,ALAMO DISCOUNT STORE,RIVERSIDE,"RIVERSIDE, California",NC,Transient Non-Community,NC,Transient Non-Community,A,Active,P,Private,GW,Groundwater,NULL,NULL,100,100,0,NULL,0,0,1,1,N1,Transient Non-Community Water System,3/5/2024,THERMAL,NULL,,NR,Not Required
CENTRAL CALIFORNIA FOB,SECTION III - NORTH CENTRAL SECTION,LPA57 - MONTEREY COUNTY,CA2702572,ALBA WS,MONTEREY,"MONTEREY, California",NC,Transient Non-Community,NC,Transient Non-Community,A,Active,P,Private,GW,Groundwater,NULL,10,30,40,0,NULL,2,0,0,2,SP,Non-Transient Non-Community Water System,4/24/2024,SALINAS,TD,Treatment or distribution operator of any grade,NR,Not Required
NORTHERN CALIFORNIA FOB,SECTION II - NORTH COASTAL SECTION,DISTRICT 03 - MENDOCINO,CA2300512,ALBION FIELD STATION,MENDOCINO,"MENDOCINO, California",NC,Transient Non-Community,NC,Transient Non-Community,A,Active,P,Private,GU,Groundwater UDI Surface Water,2,2,150,154,0,NULL,3,0,26,29,N1,Transient Non-Community Water System,3/20/2018,ALBION,T2,Treatment Operator Level 2,NR,Not Required
NORTHERN CALIFORNIA FOB,SECTION II - NORTH COASTAL SECTION,DISTRICT 03 - MENDOCINO,CA2300502,ALBION MUTUAL WATER COMPANY,MENDOCINO,"MENDOCINO, California",C,Community,C,Community,A,Active,P,Private,GW,Groundwater,26,NULL,30,56,0,NULL,3,0,24,27,DAVCS,Disadvantaged Small Community Water System,8/4/2022,ALBION,TD,Treatment or distribution operator of any grade,D1,Distribution Operator Level 1
NORTHERN CALIFORNIA FOB,SECTION II - NORTH COASTAL SECTION,DISTRICT 03 - MENDOCINO,CA2300619,ALBION RIVER CAMPGROUND,MENDOCINO,"MENDOCINO, California",NC,Transient Non-Community,NC,Transient Non-Community,A,Active,P,Private,GU,Groundwater UDI Surface Water,4,8,413,425,0,NULL,120,0,3,123,N1,Transient Non-Community Water System,12/8/2016,ALBION,T1,Treatment Operator Level 1,D1,Distribution Operator Level 1
NORTHERN CALIFORNIA FOB,SECTION II - NORTH COASTAL SECTION,DISTRICT 03 - MENDOCINO,CA2300811,ALBION RIVER INN,MENDOCINO,"MENDOCINO, California",NC,Transient Non-Community,NC,Transient Non-Community,A,Active,P,Private,GW,Groundwater,NULL,NULL,48,48,0,NULL,1,0,0,1,N1,Transient Non-Community Water System,10/5/2023,ALBION,TD,Treatment or distribution operator of any grade,D1,Distribution Operator Level 1
CENTRAL CALIFORNIA FOB,SECTION III - NORTH CENTRAL SECTION,DISTRICT 05 - MONTEREY,CA2710001,ALCO WATER SERVICE,MONTEREY,"MONTEREY, California",C,Community,C,Community,A,Active,P,Private,GW,Groundwater,30142,NULL,NULL,30142,2,NULL,334,0,8800,9136,C1,Large Water System,2/17/2022,SALINAS,TD,Treatment or distribution operator of any grade,D3,Distribution Operator Level 3
NORTHERN CALIFORNIA FOB,SECTION I - NORTHERN CA SECTION,LPA88 - YUBA COUNTY,CA5800009,ALCOUFFE COMMUNITY CENTER,YUBA,"YUBA, California",NC,Transient Non-Community,NC,Transient Non-Community,A,Active,P,Private,GW,Groundwater,NULL,NULL,50,50,0,NULL,2,0,0,2,N1,Transient Non-Community Water System,2/26/2020,OREGON HOUSE,NULL,,NR,Not Required
NORTHERN CALIFORNIA FOB,SECTION I - NORTHERN CA SECTION,LPA39 - EL DORADO COUNTY,CA0900551,ALDER INN TAHOE,EL DORADO,"EL DORADO, California",NC,Transient Non-Community,NC,Transient Non-Community,A,Active,P,Private,GW,Groundwater,NULL,NULL,60,60,NULL,NULL,3,NULL,NULL,3,N1,Transient Non-Community Water System,6/28/2024,SOUTH LAKE TAHOE,NULL,,NR,Not Required
NORTHERN CALIFORNIA FOB,SECTION II - NORTH COASTAL SECTION,DISTRICT 17 - SANTA CLARA,CA4300516,ALDERCROFT HEIGHTS COUNTY WATER DISTRICT,SANTA CLARA,"SANTA CLARA, California",C,Community,C,Community,A,Active,L,Local,SW,Surface Water,338,NULL,NULL,338,0,NULL,0,0,116,116,SC,Small Community,6/14/2022,LOS GATOS,T2,Treatment Operator Level 2,D1,Distribution Operator Level 1
NORTHERN CALIFORNIA FOB,SECTION I - NORTHERN CA SECTION,DISTRICT 01 - KLAMATH,CA1200501,ALDERPOINT COUNTY WATER,HUMBOLDT,"HUMBOLDT, California",C,Community,C,Community,A,Active,L,Local,SW,Surface Water,219,NULL,NULL,219,0,NULL,4,0,84,88,SC,Small Community,12/14/2022,ALDERPOINT,T2,Treatment Operator Level 2,D1,Distribution Operator Level 1
CENTRAL CALIFORNIA FOB,SECTION IV - SOUTH CENTRAL SECTION,LPA72 - SANTA BARBARA COUNTY,CA4200731,ALEGRIA DOMESTIC MUTUAL WATER COMPANY,SANTA BARBARA,"SANTA BARBARA, California",C,Community,C,Community,A,Active,P,Private,GW,Groundwater,54,NULL,NULL,54,0,NULL,0,0,17,17,,,3/15/2024,GAVIOTA,TD,Treatment or distribution operator of any grade,D1,Distribution Operator Level 1
NORTHERN CALIFORNIA FOB,SECTION II - NORTH COASTAL SECTION,DISTRICT 18 - SONOMA,CA4900646,ALEXANDER VALLEY ACRES WATER COMPANY,SONOMA,"SONOMA, California",C,Community,C,Community,A,Active,P,Private,GW,Groundwater,27,NULL,NULL,27,0,NULL,0,0,16,16,SC,Small Community,4/25/2023,HEALDSBURG,NULL,,D1,Distribution Operator Level 1
NORTHERN CALIFORNIA FOB,SECTION II - NORTH COASTAL SECTION,DISTRICT 25 - MARIN,CA4900107,ALEXANDER VALLEY STORE & BAR,SONOMA,"SONOMA, California",NC,Transient Non-Community,NC,Transient Non-Community,A,Active,P,Private,GW,Groundwater,NULL,2,25,27,0,NULL,1,0,0,1,N1,Transient Non-Community Water System,10/23/2014,HEALDSBURG,TD,Treatment or distribution operator of any grade,NR,Not Required
NORTHERN CALIFORNIA FOB,SECTION II - NORTH COASTAL SECTION,DISTRICT 18 - SONOMA,CA4900704,ALEXANDER VALLEY UNION SCHOOL DISTRICT,SONOMA,"SONOMA, California",NTNC,Non-Transient Non-Community,NTNC,Non-Transient Non-Community,A,Active,L,Local,GW,Groundwater,NULL,200,NULL,200,0,NULL,5,0,0,5,SP,Non-Transient Non-Community Water System,5/14/2019,HEALDSBURG,TD,Treatment or distribution operator of any grade,D1,Distribution Operator Level 1
SOUTHERN CALIFORNIA FOB,SECTION VI - SOUTHEAST CA SECTION,LPA63 - RIVERSIDE COUNTY,CA3303014,ALHATTI CHRISTIAN MOUNTAIN RES,RIVERSIDE,"RIVERSIDE, California",NC,Transient Non-Community,NC,Transient Non-Community,A,Active,P,Private,GW,Groundwater,NULL,NULL,40,40,30,NULL,28,0,2,60,N1,Transient Non-Community Water System,5/18/2021,ALANDALE,NULL,,NR,Not Required
CENTRAL CALIFORNIA FOB,SECTION IV - SOUTH CENTRAL SECTION,DISTRICT 24 - TULARE,CA5403144,ALI MUTUAL WATER CO,TULARE,"TULARE, California",C,Community,C,Community,A,Active,P,Private,GW,Groundwater,39,NULL,NULL,39,0,NULL,1,0,12,13,DAVCS,Disadvantaged Small Community Water System,8/10/2021,TULARE,TD,Treatment or distribution operator of any grade,D1,Distribution Operator Level 1
CENTRAL CALIFORNIA FOB,SECTION III - NORTH CENTRAL SECTION,LPA74 - SANTA CRUZ COUNTY,CA4400757,ALIANZA CHARTER SCHOOL/WCSA,SANTA CRUZ,"SANTA CRUZ, California",NTNC,Non-Transient Non-Community,NTNC,Non-Transient Non-Community,A,Active,L,Local,GW,Groundwater,NULL,967,NULL,967,0,NULL,3,0,0,3,NULL,,5/31/2022,WATSONVILLE,NULL,,D1,Distribution Operator Level 1
NORTHERN CALIFORNIA FOB,SECTION II - NORTH COASTAL SECTION,LPA57 - MONTEREY COUNTY,CA2702497,ALISAL RD WS #02,MONTEREY,"MONTEREY, California",NP,Non-Public,SSWS,State Small Water Systems,A,Active,P,Private,,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,,NULL,NULL,NULL,,NULL,
CENTRAL CALIFORNIA FOB,SECTION III - NORTH CENTRAL SECTION,LPA57 - MONTEREY COUNTY,CA2702519,ALISAL RD WS #3 - 2262 ALISAL RD,MONTEREY,"MONTEREY, California",NTNC,Non-Transient Non-Community,NTNC,Non-Transient Non-Community,A,Active,P,Private,GW,Groundwater,NULL,25,NULL,25,1,NULL,0,0,0,1,NULL,,5/12/2023,NULL,NULL,,D1,Distribution Operator Level 1
NORTHERN CALIFORNIA FOB,SECTION I - NORTHERN CA SECTION,LPA39 - EL DORADO COUNTY,CA0900219,ALL OUTDOORS ADVENTURE TRIPS,EL DORADO,"EL DORADO, California",NC,Transient Non-Community,NC,Transient Non-Community,A,Active,P,Private,GW,Groundwater,NULL,NULL,100,100,NULL,NULL,3,NULL,1,4,N1,Transient Non-Community Water System,6/29/2023,LOTUS,NULL,,NR,Not Required
CENTRAL CALIFORNIA FOB,SECTION III - NORTH CENTRAL SECTION,LPA57 - MONTEREY COUNTY,CA2702255,ALL SAINTS CAMPGROUND WS,MONTEREY,"MONTEREY, California",NC,Transient Non-Community,NC,Transient Non-Community,A,Active,P,Private,GW,Groundwater,1,1,25,27,0,NULL,1,0,1,2,N1,Transient Non-Community Water System,7/12/2022,BIG SUR,TD,Treatment or distribution operator of any grade,NR,Not Required
NORTHERN CALIFORNIA FOB,SECTION II - NORTH COASTAL SECTION,LPA37 - CONTRA COSTA COUNTY,CA0707800,ALL STAR ACADEMY OF DANVILLE,CONTRA COSTA,"CONTRA COSTA, California",NC,Transient Non-Community,NC,Transient Non-Community,A,Active,P,Private,GW,Groundwater,NULL,NULL,30,30,0,NULL,1,0,1,2,N1,Transient Non-Community Water System,4/27/2023,PLEASANTON,NULL,,NR,Not Required
CENTRAL CALIFORNIA FOB,SECTION III - NORTH CENTRAL SECTION,LPA74 - SANTA CRUZ COUNTY,CA4400692,ALLAN LANE WATER ASSOCIATION,SANTA CRUZ,"SANTA CRUZ, California",C,Community,C,Community,A,Active,P,Private,GW,Groundwater,54,NULL,NULL,54,0,NULL,0,0,17,17,SC,Small Community,11/4/2020,CORRALITOS,NULL,,D1,Distribution Operator Level 1
NORTHERN CALIFORNIA FOB,SECTION I - NORTHERN CA SECTION,DISTRICT 02 - LASSEN,CA4600012,ALLEGHANY COUNTY W.D.,SIERRA,"SIERRA, California",C,Community,C,Community,A,Active,L,Local,GW,Groundwater,82,NULL,NULL,82,3,NULL,7,0,42,52,DAVCS,Disadvantaged Small Community Water System,7/8/2022,ALLEGHANY,NULL,,D1,Distribution Operator Level 1
CENTRAL CALIFORNIA FOB,SECTION IV - SOUTH CENTRAL SECTION,DISTRICT 12 - VISALIA,CA1500483,ALLEN ROAD MUTUAL WATER SYSTEM,KERN,"KERN, California",C,Community,C,Community,A,Active,P,Private,GW,Groundwater,195,NULL,NULL,195,0,NULL,0,0,59,59,SC,Small Community,2/21/2020,BAKERSFIELD,TD,Treatment or distribution operator of any grade,D1,Distribution Operator Level 1
CENTRAL CALIFORNIA FOB,SECTION IV - SOUTH CENTRAL SECTION,DISTRICT 24 - TULARE,CA5400544,ALLENSWORTH CSD,TULARE,"TULARE, California",C,Community,C,Community,A,Active,L,Local,GW,Groundwater,521,NULL,NULL,521,0,NULL,2,0,166,168,DAVCS,Disadvantaged Small Community Water System,8/29/2023,ALLENSWORTH,T1,Treatment Operator Level 1,D1,Distribution Operator Level 1
SOUTHERN CALIFORNIA FOB,SECTION V - SOUTHERN CA SECTION,LPA66 - SAN BERNARDINO COUNTY,CA3600005,ALLIANCE PIPELINE ASSOCIATION,SAN BERNARDINO,"SAN BERNARDINO, California",NP,Non-Public,SSWS,State Small Water Systems,A,Active,P,Private,GW,Groundwater,10,NULL,NULL,10,0,NULL,0,0,14,14,XS,State Small Water System,6/7/2017,BIG BEAR LAKE,NULL,,NULL,
NORTHERN CALIFORNIA FOB,SECTION II - NORTH COASTAL SECTION,DISTRICT 18 - SONOMA,CA4900943,ALLIANCE REDWOODS CONFERENCE GROUNDS,SONOMA,"SONOMA, California",C,Community,C,Community,A,Active,P,Private,GW,Groundwater,46,NULL,372,418,0,NULL,29,0,44,73,SC,Small Community,11/16/2012,OCCIDENTAL,T1,Treatment Operator Level 1,D1,Distribution Operator Level 1
SOUTHERN CALIFORNIA FOB,SECTION VI - SOUTHEAST CA SECTION,LPA43 - IMPERIAL COUNTY,CA1300668,ALLIED WASTE OF IMPERIAL VALLEY,IMPERIAL,"IMPERIAL, California",NTNC,Non-Transient Non-Community,NTNC,Non-Transient Non-Community,A,Active,P,Private,SW,Surface Water,NULL,45,NULL,45,0,NULL,2,0,0,2,SP,Non-Transient Non-Community Water System,12/1/2023,IMPERIAL,T2,Treatment Operator Level 2,D1,Distribution Operator Level 1
NORTHERN CALIFORNIA FOB,SECTION II - NORTH COASTAL SECTION,DISTRICT 17 - SANTA CLARA,CA4301014,ALMA LATTER-DAY SAINTS CHURCH,SANTA CLARA,"SANTA CLARA, California",NC,Transient Non-Community,NC,Transient Non-Community,A,Active,P,Private,GW,Groundwater,NULL,NULL,40,40,0,NULL,1,0,0,1,N1,Transient Non-Community Water System,2/16/2022,LOS GATOS,TD,Treatment or distribution operator of any grade,NR,Not Required
CENTRAL CALIFORNIA FOB,SECTION III - NORTH CENTRAL SECTION,LPA50 - MADERA COUNTY,CA2000641,ALMADEN - MADERA,MADERA,"MADERA, California",NTNC,Non-Transient Non-Community,NTNC,Non-Transient Non-Community,A,Active,P,Private,GW,Groundwater,NULL,60,NULL,60,0,NULL,0,3,0,3,NULL,,5/21/2021,MADERA,TD,Treatment or distribution operator of any grade,D1,Distribution Operator Level 1
NORTHERN CALIFORNIA FOB,SECTION I - NORTHERN CA SECTION,LPA62 - PLUMAS COUNTY,CA3200135,ALMANOR COMMUNITY WELL MWC,PLUMAS,"PLUMAS, California",NP,Non-Public,LSS,Local State Small Systems,A,Active,P,Private,GW,Groundwater,NULL,NULL,24,24,NULL,NULL,NULL,NULL,33,33,N1,Transient Non-Community Water System,9/8/2006,PRATTVILLE,NULL,,NULL,
NORTHERN CALIFORNIA FOB,SECTION I - NORTHERN CA SECTION,LPA62 - PLUMAS COUNTY,CA3200139,ALMANOR HEIGHTS MWC,PLUMAS,"PLUMAS, California",NC,Transient Non-Community,NC,Transient Non-Community,A,Active,P,Private,GW,Groundwater,NULL,NULL,25,25,0,NULL,0,0,43,43,N1,Transient Non-Community Water System,6/16/2021,PRATTVILLE,NULL,,NR,Not Required
NORTHERN CALIFORNIA FOB,SECTION I - NORTHERN CA SECTION,LPA62 - PLUMAS COUNTY,CA3200167,ALMANOR LAKE ESTATES MWC,PLUMAS,"PLUMAS, California",NP,Non-Public,SSWS,State Small Water Systems,A,Active,P,Private,GW,Groundwater,NULL,NULL,18,18,0,NULL,0,0,9,9,DD,Dead and Done (Not Active),NULL,EAST LAKE ALMANOR,NULL,,NULL,
CENTRAL CALIFORNIA FOB,SECTION IV - SOUTH CENTRAL SECTION,LPA70 - SAN LUIS OBISPO COUNTY,CA4000631,ALMIRA WATER ASSOCIATION,SAN LUIS OBISPO,"SAN LUIS OBISPO, California",C,Community,C,Community,A,Active,P,Private,GW,Groundwater,40,NULL,NULL,40,0,NULL,0,0,20,20,SC,Small Community,7/13/2022,PASO ROBLES,T1,Treatment Operator Level 1,D1,Distribution Operator Level 1
NORTHERN CALIFORNIA FOB,SECTION I - NORTHERN CA SECTION,LPA34 - BUTTE COUNTY,CA0400040,ALMOND GROVE MOBILE PARK,BUTTE,"BUTTE, California",C,Community,C,Community,A,Active,P,Private,GW,Groundwater,237,NULL,16,253,0,NULL,9,0,175,184,NULL,,3/29/2023,CHICO,NULL,,D1,Distribution Operator Level 1
CENTRAL CALIFORNIA FOB,SECTION III - NORTH CENTRAL SECTION,LPA69 - SAN JOAQUIN COUNTY,CA3900517,ALMOND PARK WATER SYSTEM,SAN JOAQUIN,"SAN JOAQUIN, California",C,Community,C,Community,A,Active,L,Local,GW,Groundwater,60,NULL,NULL,60,0,NULL,0,0,20,20,SC,Small Community,4/13/2022,STOCKTON,NULL,,D1,Distribution Operator Level 1
NORTHERN CALIFORNIA FOB,SECTION II - NORTH COASTAL SECTION,LPA37 - CONTRA COSTA COUNTY,CA0706049,ALOHA CLUB,CONTRA COSTA,"CONTRA COSTA, California",NC,Transient Non-Community,NC,Transient Non-Community,A,Active,P,Private,GW,Groundwater,NULL,NULL,25,25,0,NULL,1,0,0,1,N1,Transient Non-Community Water System,10/23/2019,BYRON,NULL,,NR,Not Required
CENTRAL CALIFORNIA FOB,SECTION IV - SOUTH CENTRAL SECTION,DISTRICT 12 - VISALIA,CA5410050,ALPAUGH COMMUNITY SERVICES DISTRICT,TULARE,"TULARE, California",C,Community,C,Community,A,Active,L,Local,GW,Groundwater,871,NULL,NULL,871,0,NULL,19,1,352,372,DAVCS,Disadvantaged Small Community Water System,5/15/2020,ALPAUGH,T3,Treatment Operator Level 3,D2,Distribution Operator Level 2
NORTHERN CALIFORNIA FOB,SECTION II - NORTH COASTAL SECTION,LPA58 - NAPA COUNTY,CA2801012,ALPHA OMEGA WINERY,NAPA,"NAPA, California",NTNC,Non-Transient Non-Community,NTNC,Non-Transient Non-Community,A,Active,P,Private,GW,Groundwater,NULL,25,NULL,25,0,NULL,1,0,0,1,SP,Non-Transient Non-Community Water System,5/9/2022,ST. HELENA,NULL,,NR,Not Required
CENTRAL CALIFORNIA FOB,SECTION III - NORTH CENTRAL SECTION,DISTRICT 28 - YOSEMITE,CA5500041,ALPINE ACRES MUTUAL WATER CO,TUOLUMNE,"TUOLUMNE, California",C,Community,C,Community,A,Active,P,Private,GW,Groundwater,59,NULL,NULL,59,0,NULL,0,0,55,55,SC,Small Community,8/23/2023,SONORA,NULL,,D1,Distribution Operator Level 1
SOUTHERN CALIFORNIA FOB,SECTION VI - SOUTHEAST CA SECTION,DISTRICT 14 - SAN DIEGO,CA3705071,ALPINE AMERICAN LEGION,SAN DIEGO,"SAN DIEGO, California",NC,Transient Non-Community,NC,Transient Non-Community,A,Active,P,Private,GW,Groundwater,NULL,NULL,100,100,0,NULL,2,0,1,3,N1,Transient Non-Community Water System,4/30/2021,NULL,TD,Treatment or distribution operator of any grade,D1,Distribution Operator Level 1
NORTHERN CALIFORNIA FOB,SECTION I - NORTHERN CA SECTION,LPA32 - ALPINE COUNTY,CA0205425,ALPINE CO COMMUNITY DEVELOPMENT,ALPINE,"ALPINE, California",NTNC,Non-Transient Non-Community,NTNC,Non-Transient Non-Community,A,Active,L,Local,GW,Groundwater,NULL,30,NULL,30,0,NULL,10,0,0,10,NULL,,7/12/2021,MARKLEEVILLE,NULL,,D1,Distribution Operator Level 1
